batiment_groupe_id;geom_groupe
bdnb-bg-5CTB-DCQR-CBX5;MULTIPOLYGON (((896718.6 6571992.6,896717.7 6571992.5,896718.1 6571990.2,896715.4 6571989.9,896717.0 6571980.7,896708.7 6571979.4,896707.7 6571984.9,896689.5 6571982.4,896689.8 6571980.4,896684.2 6571979.6,896683.9 6571981.6,896674.0 6571980.3,896674.4 6571976.9,896671.2 6571976.5,896671.1 6571975.3,896671.1 6571974.5,896674.8 6571974.4,896675.8 6571967.1,896675.3 6571967.0,896679.0 6571939.7,896677.0 6571939.4,896672.4 6571938.8,896672.6 6571934.8,896660.6 6571932.9,896656.1 6571929.9,896647.4 6571940.8,896648.6 6571941.9,896630.5 6571964.5,896593.8 6571960.0,896591.1 6571981.1,896598.2 6571982.1,896599.8 6571984.8,896601.7 6571988.3,896606.7 6571994.5,896607.8 6571993.2,896616.5 6571999.3,896627.2 6571986.6,896653.5 6571990.3,896657.0 6571968.3,896635.8 6571965.3,896658.1 6571936.7,896659.7 6571937.0,896658.6 6571945.0,896658.0 6571949.3,896656.6 6571959.1,896655.8 6571964.8,896662.4 6571965.7,896660.7 6571978.5,896665.8 6571979.2,896662.4 6572003.9,896672.4 6572005.3,896673.1 6572000.4,896673.1 6572000.1,896674.6 6571990.8,896684.1 6571992.2,896683.7 6571995.3,896678.2 6571994.4,896676.8 6572003.3,896680.1 6572007.4,896688.3 6572008.4,896688.7 6572006.6,896691.2 6572006.9,896689.9 6572014.8,896698.7 6572016.1,896700.3 6572005.4,896718.4 6572008.2,896719.8 6572000.1,896716.8 6571999.6,896717.2 6571996.8,896718.6 6571996.9,896719.3 6571996.1,896723.1 6571996.6,896723.5 6571994.5,896719.8 6571993.8,896718.6 6571992.6)))
bdnb-bg-5EAJ-J4P3-9FHB;MULTIPOLYGON (((836292.9 6539815.1,836291.6 6539812.9,836296.3 6539810.0,836297.1 6539811.1,836300.0 6539809.3,836296.3 6539803.5,836291.8 6539806.2,836291.2 6539805.4,836283.7 6539809.9,836282.6 6539808.1,836278.5 6539810.8,836284.5 6539820.4,836292.9 6539815.1)),((836302.6 6539766.7,836290.8 6539779.3,836299.6 6539787.3,836311.2 6539774.8,836302.6 6539766.7)),((836321.4 6539794.5,836321.2 6539789.4,836310.2 6539789.9,836310.5 6539799.9,836312.5 6539799.9,836312.7 6539805.5,836311.7 6539805.6,836311.9 6539808.7,836313.8 6539808.6,836313.9 6539817.2,836319.6 6539817.1,836319.5 6539808.3,836318.6 6539808.3,836318.5 6539803.3,836319.5 6539803.2,836319.3 6539794.7,836321.4 6539794.5)),((836343.4 6539736.2,836348.4 6539734.5,836346.5 6539727.9,836341.4 6539729.6,836343.4 6539736.2)),((836353.8 6539587.3,836348.1 6539586.3,836349.3 6539580.2,836330.5 6539577.3,836325.7 6539609.1,836332.2 6539610.1,836331.5 6539615.2,836349.1 6539617.9,836353.8 6539587.3)),((836355.5 6539712.9,836350.9 6539713.1,836349.5 6539698.3,836340.1 6539699.1,836341.3 6539716.4,836345.4 6539716.0,836345.6 6539717.0,836348.8 6539716.8,836349.2 6539720.9,836356.2 6539720.4,836355.5 6539712.9)),((836462.5 6539700.2,836462.9 6539699.4,836450.2 6539692.1,836438.9 6539711.6,836446.4 6539715.8,836447.0 6539714.8,836461.7 6539722.7,836462.3 6539723.0,836465.9 6539716.9,836465.3 6539716.6,836456.2 6539711.6,836456.8 6539710.4,836462.5 6539700.2)),((836470.7 6539564.5,836468.6 6539568.9,836467.5 6539568.4,836462.7 6539577.7,836470.8 6539581.8,836475.5 6539572.5,836472.1 6539570.8,836474.4 6539566.3,836487.3 6539572.7,836493.3 6539560.8,836497.4 6539562.8,836501.5 6539554.3,836493.5 6539550.4,836491.4 6539554.7,836486.6 6539552.4,836483.3 6539558.9,836479.4 6539556.7,836478.7 6539557.9,836470.1 6539553.8,836465.9 6539562.3,836470.7 6539564.5)),((836463.6 6539698.1,836472.3 6539702.6,836476.8 6539694.4,836467.8 6539690.1,836463.6 6539698.1)),((836516.2 6539535.0,836514.6 6539530.9,836511.1 6539532.1,836512.7 6539536.3,836516.2 6539535.0)))
bdnb-bg-5ECF-BETH-UH92;MULTIPOLYGON (((918225.3 6560980.3,918219.3 6560977.9,918214.1 6560987.8,918218.4 6560989.8,918220.0 6560987.2,918225.3 6560980.3)))
bdnb-bg-5J4W-LLKE-MRJY;MULTIPOLYGON (((875947.0 6563368.1,875944.5 6563353.7,875900.1 6563361.4,875908.4 6563409.1,875909.9 6563418.1,875919.2 6563416.6,875918.5 6563412.4,875921.2 6563412.0,875920.4 6563407.7,875924.4 6563406.9,875923.4 6563401.3,875919.3 6563378.0,875913.9 6563379.0,875913.0 6563374.1,875947.0 6563368.1)))
bdnb-bg-5J8C-AS3X-7UFB;MULTIPOLYGON (((882646.2 6547919.6,882650.8 6547920.2,882650.1 6547928.9,882645.5 6547928.5,882646.2 6547919.6)))
bdnb-bg-5KEA-5L1E-NF8C;MULTIPOLYGON (((839129.6 6565384.0,839135.4 6565389.2,839140.9 6565383.8,839146.9 6565377.8,839141.1 6565372.4,839135.1 6565378.4,839129.6 6565384.0)))
bdnb-bg-5MMR-2NUK-QMTY;MULTIPOLYGON (((851456 6526534,851468.0 6526538.8,851467.8 6526539.4,851470.7 6526540.5,851471.0 6526539.9,851503.0 6526552.4,851502.0 6526555.1,851504.5 6526556.0,851503.1 6526559.5,851506.3 6526560.7,851526.5 6526568.4,851528.9 6526562.4,851561.7 6526575.1,851559.5 6526586.3,851582.2 6526594.1,851597.2 6526595.6,851597.3 6526595.6,851603.0 6526591.1,851623.4 6526567.2,851622.0 6526563.7,851622.1 6526563.5,851580.1 6526546.4,851578.1 6526551.4,851584.8 6526554.2,851580.6 6526564.6,851573.2 6526561.7,851571.8 6526565.3,851567.7 6526563.8,851543.2 6526554.2,851549.2 6526539.7,851562.1 6526545.0,851563.9 6526544.3,851565.5 6526540.5,851563.6 6526539.7,851558.4 6526537.6,851545.4 6526532.3,851537.9 6526533.3,851537.6 6526531.4,851534.1 6526531.8,851534.4 6526533.8,851519.2 6526528.1,851516.9 6526534.2,851513.0 6526532.8,851463.6 6526514.2,851460.0 6526523.5,851456 6526534)))
bdnb-bg-5NC2-Z4JZ-PSW4;MULTIPOLYGON (((906030.2 6512699.8,906039.1 6512697.8,906036.0 6512681.8,906024.4 6512684.4,906026.1 6512690.8,906027.8 6512690.3,906030.2 6512699.8)))
bdnb-bg-5PHL-D91L-B72N;MULTIPOLYGON (((908678.7 6564711.0,908680.2 6564695.9,908670.0 6564695.4,908670.3 6564692.7,908634.0 6564689.8,908631.6 6564709.3,908667.9 6564713.0,908668.1 6564710.4,908678.7 6564711.0)),((908700.9 6564689.9,908701.6 6564687.4,908720.5 6564692.8,908724.2 6564680.4,908717.3 6564678.4,908716.9 6564680.3,908697.0 6564674.4,908695.2 6564673.8,908694.7 6564675.1,908691.3 6564687.3,908700.9 6564689.9)),((908754 6564702,908750.4 6564705.3,908754.9 6564710.2,908763.4 6564703.1,908758.6 6564698.0,908761.5 6564695.6,908746.6 6564679.3,908737.1 6564687.6,908741.7 6564692.9,908744.1 6564690.9,908754 6564702)),((908753.8 6564654.8,908755.2 6564656.8,908757.3 6564655.2,908758.3 6564656.5,908764.8 6564652.0,908760.1 6564645.2,908761.6 6564644.4,908755.1 6564634.4,908739.4 6564644.0,908748.7 6564658.1,908753.8 6564654.8)),((908774.0 6564722.1,908763.7 6564721.7,908763.6 6564726.8,908773.9 6564727.1,908774.0 6564722.1)))
bdnb-bg-5QMB-4FY4-MP66;MULTIPOLYGON (((868302.9 6583819.8,868303.6 6583820.6,868308.5 6583816.6,868312.6 6583821.1,868318.3 6583816.0,868318.3 6583815.9,868308.7 6583803.8,868302.8 6583808.4,868302.5 6583808.0,868294 6583815,868294.3 6583815.4,868287.2 6583821.0,868292.5 6583827.7,868302.9 6583819.8)),((868299.2 6583834.3,868300.8 6583832.8,868308.7 6583825.6,868306.0 6583822.6,868298.1 6583829.9,868298.7 6583830.5,868297.1 6583832.0,868299.2 6583834.3)))
