"Column","Type","Size","Nulls","Auto","Default","Children","Parents","Comments"
"dpe_mix_arrete_type_energie_climatisation","text","2147483647","√","","null","","","type d’énergie pour le générateur de climatisation principal"
"dpe_mix_arrete_type_generateur_climatisation","text","2147483647","√","","null","","","type de générateur de climatisation principal"
"dpe_mix_arrete_type_generateur_climatisation_anciennete","text","2147483647","√","","null","","","ancienneté du générateur de climatisation principal"
"dpe_mix_arrete_type_installation_ecs","text","2147483647","√","","null","","","type d’installation d’eau chaude sanitaire (ECS) (collectif ou individuel)"
"dpe_mix_arrete_type_energie_ecs","text","2147483647","√","","null","","","type d’énergie pour le générateur d’eau chaude sanitaire (ECS) principal"
"dpe_mix_arrete_type_generateur_ecs","text","2147483647","√","","null","","","type de générateur d’eau chaude sanitaire (ECS) principal"
"dpe_mix_arrete_type_generateur_ecs_anciennete","text","2147483647","√","","null","","","ancienneté du générateur d’eau chaude sanitaire (ECS) principal"
"dpe_mix_arrete_type_energie_ecs_appoint","text","2147483647","√","","null","","","type d’énergie pour le générateur d’eau chaude sanitaire (ECS) d’appoint"
"dpe_mix_arrete_type_generateur_ecs_appoint","text","2147483647","√","","null","","","type de générateur d’eau chaude sanitaire (ECS) d’appoint"
"dpe_mix_arrete_type_generateur_ecs_anciennete_appoint","text","2147483647","√","","null","","","ancienneté du générateur d’eau chaude sanitaire (ECS) d’appoint"
"dpe_mix_arrete_ecs_solaire","bool","1","√","","null","","","présence d’ecs solaire"
"dpe_mix_arrete_nb_generateur_ecs","int2","5","√","","null","","","nombre de générateurs d’ecs"
"dpe_mix_arrete_nb_installation_ecs","int2","5","√","","null","","","nombre d’installation d’ecs"
"dpe_mix_arrete_plusieurs_facade_exposee","bool","1","√","","null","","","il est considéré dans le DPE qu’il y a plusieurs facades exposées au vent."
"dpe_mix_arrete_type_ventilation","text","2147483647","√","","null","","","type de ventilation"
"dpe_mix_arrete_type_production_energie_renouvelable","text","2147483647","√","","null","","","type de production ENR pour le DPE"
"dpe_mix_arrete_type_vitrage","text","2147483647","√","","null","","","type de vitrage principal des baies vitrées du DPE"
"dpe_mix_arrete_type_materiaux_menuiserie","text","2147483647","√","","null","","","type de matériaux principal des menuiseries des baies vitrées du DPE"
"dpe_mix_arrete_type_gaz_lame","text","2147483647","√","","null","","","type de gaz injecté principalement dans la lame entre les vitrages des baies vitrées du DPE (double vitrage ou triple vitrage uniquement)"
"dpe_mix_arrete_type_fermeture","text","2147483647","√","","null","","","type de fermeture principale installée sur les baies vitrées du DPE (volet,persienne etc..)"
"dpe_mix_arrete_epaisseur_lame","int2","5","√","","null","","","epaisseur principale de la lame de gaz entre vitrages pour les baies vitrées du DPE."
"dpe_mix_arrete_vitrage_vir","bool","1","√","","null","","","le vitrage a été traité avec un traitement à isolation renforcé ce qui le rend plus performant d’un point de vue thermique."
"dpe_mix_arrete_surface_vitree_nord","numeric","0","√","","null","","","somme de la surface de baies vitrées orientées nord du DPE"
"dpe_mix_arrete_surface_vitree_sud","numeric","0","√","","null","","","somme de la surface de baies vitrées orientées sud du DPE"
"dpe_mix_arrete_surface_vitree_ouest","numeric","0","√","","null","","","somme de la surface de baies vitrées orientées ouest du DPE"
"dpe_mix_arrete_surface_vitree_est","numeric","0","√","","null","","","somme de la surface de baies vitrées orientées est du DPE"
"dpe_mix_arrete_surface_vitree_horizontal","numeric","0","√","","null","","","somme de la surface de baies vitrées horizontales du DPE (velux la plupart du temps)"
"dpe_mix_arrete_traversant","text","2147483647","√","","null","","","indicateur du côté traversant du logement."
"dpe_mix_arrete_u_baie_vitree","numeric","0","√","","null","","","Coefficient de transmission thermique moyen des baies vitrées en incluant le calcul de la résistance additionelle des fermetures (calcul Ujn) (W/m²/K)"
"dpe_mix_arrete_uw","numeric","0","√","","null","","","Coefficient de transmission thermique moyen des baies vitrées sans prise en compte des fermeture (W/m²/K)"
"dpe_mix_arrete_facteur_solaire_baie_vitree","numeric","0","√","","null","","","facteur de transmission du flux solaire par la baie vitrée. coefficient entre 0 et 1"
"dpe_mix_arrete_presence_balcon","bool","1","√","","null","","","présence de balcons identifiés par analyse des coefficients de masques solaires du DPE."
"dpe_mix_arrete_l_orientation_baie_vitree","_text","2147483647","√","","null","","","liste des orientations des baies vitrées (enum version BDNB)"
"dpe_mix_arrete_pourcentage_surface_baie_vitree_exterieur","numeric","0","√","","null","","","pourcentage de surface de baies vitrées sur les murs extérieurs"
"dpe_mix_arrete_type_isolation_mur_exterieur","text","2147483647","√","","null","","","type d’isolation principal des murs donnant sur l’extérieur pour le DPE"
"dpe_mix_arrete_epaisseur_isolation_mur_exterieur_estim","int4","10","√","","null","","","epaisseur d’isolation moyenne des murs extérieurs estimée à partir de la différence entre le U de mur et le U de mur nu. Dans le cas d’une épaisseur déclarée c’est directement l’épaisseur déclarée qui est considérée, dans le cas contraire l’épaisseur est estimée aussi pour les U conventionels de la méthode 3CL DPE."
"dpe_mix_arrete_materiaux_structure_mur_exterieur","text","2147483647","√","","null","","","matériaux ou principe constructif principal utilisé pour les murs extérieurs (enum version BDNB)"
"dpe_mix_arrete_epaisseur_structure_mur_exterieur","text","2147483647","√","","null","","","epaisseur moyenne de la partie structure du mur (sans l’isolation rapportée ni les doublages)"
"dpe_mix_arrete_surface_mur_totale","numeric","0","√","","null","","","somme de la surface de murs totale"
"dpe_mix_arrete_surface_mur_exterieur","numeric","0","√","","null","","","somme de la surface  surface de murs donnant sur l’extérieur"
"dpe_mix_arrete_surface_mur_deperditif","numeric","0","√","","null","","","somme de la surface de murs donnant sur des locaux non chauffés et sur l’extérieur (surfaces déperditives)"
"dpe_mix_arrete_u_mur_exterieur","numeric","0","√","","null","","","Coefficient de transmission thermique moyen des murs extérieurs (W/m²/K)"
"dpe_mix_arrete_l_local_non_chauffe_mur","_text","2147483647","√","","null","","","liste des locaux non chauffés en contact avec les murs (enum DPE 2021)"
"dpe_mix_arrete_local_non_chauffe_principal_mur","text","2147483647","√","","null","","","liste des locaux non chauffés en contact avec les murs (enum DPE 2021)"
"dpe_mix_arrete_l_orientation_mur_exterieur","_text","2147483647","√","","null","","","liste des orientations des murs donnant sur l’extérieur (enum version BDNB)"
"dpe_mix_arrete_type_isolation_plancher_bas","text","2147483647","√","","null","","","type d’isolation principal des planchers bas déperditifs pour le DPE"
